Company,Country (HQ if distributed),Description,Investment,Source
Paradigm,USA,crypto-focused investor,$290M,https://www.theblock.co/post/186449/paradigm-marks-down-ftx-investment-to-zero-sources
Temasek,Singapore,state lender,$275M,https://www.reuters.com/technology/singapores-temasek-writes-down-275-mln-investment-ftx-2022-11-16/
Sequoia,USA,investment firm,$210M,https://www.cnbc.com/2022/11/10/sequoia-capital-marks-down-its-ftx-investment-to-0.html
Thoma Bravo,USA,investment firm,$130M,https://www.buyoutsinsider.com/new-york-ohio-pensions-take-hits-on-ftx-exposure-through-thoma-bravo-growth-fund/
SoftBank,Japan,investment firm,$100M,https://techcrunch.com/2022/11/14/softbank-ftx-crypto/
Ontario Teachers' Pension Plan,Canada,pension fund,$95M,https://www.reuters.com/technology/ontario-pension-says-any-loss-ftx-investment-have-limited-impact-2022-11-10/
Tiger Global,USA,investment firm,$38M,https://news.bloomberglaw.com/securities-law/tiger-globals-now-worthless-ftx-bet-had-bains-due-diligence
BlackRock,USA,investment firm,$24M,https://www.reuters.com/technology/blackrocks-fink-says-there-may-have-been-misbehaviors-ftx-2022-11-30/
Circle,USA,crypto firm,$10.6M,https://decrypt.co/114717/circle-ftx-exposure-usdc-conversions-binance-projections
Telstra Ventures,Australia,venture fund,$1â€“10M,https://www.afr.com/technology/telstra-stung-by-ftx-crypto-collapse-as-market-surveys-carnage-20221113-p5bxsz